degree,count
0,0.0
1,59.08032639272439
2,43203.189085245765
3,58922.209983996094
4,49713.476956114115
5,35083.29024410207
6,25526.945879285573
7,18375.90550719149
8,13700.93013416123
9,10359.400752865738
10,8396.529667849158
11,6510.375456441892
12,5428.397789324634
13,4665.231994444272
14,3848.5022513709264
15,3326.4823536472977
16,2945.593377245066
17,2449.3138160573435
18,2355.361781723739
19,1693.9254548984463
20,1684.4639183975523
21,1455.671538100869
22,1310.1271952958778
23,1119.2271451847628
24,1034.8726900636102
25,960.3816341229249
26,794.6814276326913
27,754.4362717190525
28,719.5790232959553
29,643.1489413813106
30,695.6370118444902
31,649.0820792251034
32,529.2871622188832
33,525.5830370314652
34,478.18778652953915
35,372.33823624195065
36,387.04875652171904
37,393.1576159687247
38,293.27016451983945
39,326.1301084262668
40,293.81634389498504
41,167.35217215970624
42,299.98977396730334
43,247.0905657276162
44,289.70761725882767
45,188.1515247868956
46,175.98404610925354
47,193.95361370203318
48,178.77446008118568
49,174.36270154931117
50,145.891926492739
51,79.51937901391648
52,141.93568023189437
53,134.95219336583978
54,178.14551461586962
55,69.83803799148882
56,102.72773937392049
57,102.92540554568404
58,69.54848408396356
59,119.49390106863575
60,95.77404325891985
61,115.70285667694407
62,0.0
63,96.85544165223837
64,73.19096743926639
65,73.78999019198818
66,57.74945789255435
67,119.90839509677608
68,30.377881347900257
69,58.544115656404756
70,30.420499158091843
71,43.74249813100323
72,72.42004868015647
73,34.43482177145779
74,23.790626495843753
75,44.506155477894936
76,44.56606602377724
77,21.616527469537687
78,13.183626801590435
79,48.74344369804021
80,33.04341664304957
81,17.034729391976725
82,1.1391264029662125
83,89.52848511200864
84,5.471924023586325
85,32.3286654765252
86,17.344112763472367
87,0.0
88,26.221333571651485
89,13.266850845015142
90,8.515754387830384
91,0.0
92,61.00594484998146
93,0.0
94,0.0
95,52.67975930968532
96,10.352132016676478
97,4.975545906461775
98,21.98369464906864
99,0.0
100,24.470382607891224
101,10.50820261676563
102,30.341752962616738
103,4.753451875178143
104,28.285143230459653
105,31.307799840695225
106,10.81605766294524
107,4.467842720099725
108,0.0
109,20.45188760594465
110,9.047458695655223
111,0.0
112,27.50596673565451
113,0.0
114,29.382403201248962
115,19.973554979776964
116,4.840846107050311
117,0.0
118,57.238202518376056
119,0.0
120,1.1015996969072148
121,0.0
122,0.632964885502588
123,0.0
124,0.0
125,21.303339308535215
126,0.0
127,6.6510701854131185
128,0.0
129,0.0
130,37.47368396789534
131,0.0
132,29.63087268237723
133,0.0
134,0.0
135,0.0
136,0.0
137,7.229563998900559
138,6.861673169832393
139,6.493782340764227
140,6.125891511696061
141,5.758000682627902
142,5.390109853559736
143,5.022219024491569
144,4.654328195423403
145,4.286437366355237
146,3.918546537287078
147,3.550655708218912
148,3.1827648791507457
149,2.8148740500825795
150,2.4469832210144133
151,2.079092391946247
152,1.7112015628780881
153,1.343310733809922
154,0.9754199047417558
155,0.6075290756735896
156,0.23963824660542343
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
